trend_id,title,channel_id,category_id,publish_id,views,likes
3,"#1 World Record 3,359 Solo Wins | Fortnite Live Stream",30,20,29,229842,3676
0,#338 SAMANTHA BEE IS FINISHED! Gavin McInnes and Tommy Robinson* Guest | Louder With Crowder,690,23,26,167818,8189
1,#338 SAMANTHA BEE IS FINISHED! Gavin McInnes and Tommy Robinson* Guest | Louder With Crowder,690,23,26,272337,11062
12,#ProudToCreate: Pride 2018,859,24,32,1329391,48386
11,#ProudToCreate: Pride 2018,859,24,32,1315418,48135
10,#ProudToCreate: Pride 2018,859,24,32,1291035,47762
9,#ProudToCreate: Pride 2018,859,24,32,1253843,47073
9,#ProudToCreate: Pride 2018,859,24,32,1253843,47073
8,#ProudToCreate: Pride 2018,859,24,32,1227495,46556
8,#ProudToCreate: Pride 2018,859,24,32,1227495,46556
7,#ProudToCreate: Pride 2018,859,24,32,1074997,43153
7,#ProudToCreate: Pride 2018,859,24,32,1074997,43153
6,#ProudToCreate: Pride 2018,859,24,32,597669,29781
6,#ProudToCreate: Pride 2018,859,24,32,597669,29781
1,$10 Cheesesteak Vs. $120 Cheesesteak,113,22,21,4502927,93385
0,$10 Cheesesteak Vs. $120 Cheesesteak,113,22,21,4390807,92031
2,"$150 Bed Vs. $159,000 Bed",112,22,21,2898292,48651
1,"$150 Bed Vs. $159,000 Bed",112,22,21,2736564,46864
0,"$150 Bed Vs. $159,000 Bed",112,22,21,2636774,45663
2,$2 Peking Duck Vs. $340 Peking Duck,113,22,28,1727662,53164
3,$2 Peking Duck Vs. $340 Peking Duck,113,22,28,2702223,69944
4,$2 Peking Duck Vs. $340 Peking Duck,113,22,28,3157663,78126
5,$2 Peking Duck Vs. $340 Peking Duck,113,22,28,3364283,81504
12,"$285 Watch Vs. $700,000 Watch",112,22,35,1615246,29693
11,"$285 Watch Vs. $700,000 Watch",112,22,35,1493845,28336
10,"$285 Watch Vs. $700,000 Watch",112,22,35,1051900,22488
9,"$285 Watch Vs. $700,000 Watch",112,22,35,518578,14423
7,"$40 Gym Vs. $10,000 Gym",112,22,28,4551374,67414
3,"$40 Gym Vs. $10,000 Gym",112,22,28,3006287,50060
